0.435;0.35;0.125;0.459;0.197;0.1145;0.145;9
0.455;0.375;0.125;0.533;0.233;0.106;0.185;8
0.48;0.38;0.13;0.6175;0.3;0.142;0.175;12
0.43;0.35;0.105;0.366;0.1705;0.0855;0.11;6
0.435;0.35;0.105;0.4195;0.194;0.1005;0.13;7
0.3;0.23;0.075;0.15;0.0605;0.042;0.045;5
0.575;0.48;0.15;0.8745;0.375;0.193;0.29;12
0.505;0.385;0.11;0.655;0.3185;0.15;0.185;9
0.455;0.375;0.125;0.484;0.2155;0.102;0.165;7
0.64;0.505;0.165;1.4435;0.6145;0.3035;0.39;18
0.56;0.435;0.125;0.8775;0.3345;0.2145;0.29;13
0.645;0.52;0.19;1.3105;0.58;0.288;0.37;12
0.595;0.485;0.145;1.2515;0.5035;0.2925;0.33;14
0.565;0.45;0.115;0.9085;0.398;0.197;0.29;17
0.655;0.5;0.14;1.1705;0.5405;0.3175;0.285;12
0.48;0.38;0.135;0.528;0.2;0.1395;0.16;14
0.495;0.385;0.135;0.6625;0.3005;0.1635;0.185;11
0.4;0.335;0.115;0.4335;0.2105;0.1205;0.12;10
0.41;0.31;0.125;0.3595;0.1415;0.0885;0.115;11
0.595;0.465;0.145;1.107;0.402;0.2415;0.31;12
0.625;0.475;0.13;0.8595;0.3195;0.1775;0.24;13
0.52;0.425;0.155;0.7735;0.297;0.123;0.255;17
0.465;0.36;0.125;0.4365;0.169;0.1075;0.145;11
0.475;0.375;0.14;0.501;0.192;0.1175;0.175;13
0.5;0.405;0.14;0.6735;0.265;0.124;0.25;18
0.46;0.355;0.11;0.415;0.215;0.082;0.13;12
0.485;0.385;0.125;0.4775;0.2;0.0785;0.17;12
0.465;0.39;0.14;0.5555;0.213;0.1075;0.215;15
0.525;0.415;0.16;0.6445;0.26;0.1575;0.22;12
0.655;0.53;0.19;1.428;0.493;0.318;0.565;18
0.69;0.54;0.185;1.6195;0.533;0.353;0.555;24
0.55;0.45;0.17;0.81;0.317;0.157;0.22;11
0.58;0.475;0.165;1.0385;0.414;0.26;0.305;13
0.59;0.475;0.155;0.9715;0.371;0.235;0.28;11
0.565;0.44;0.155;0.868;0.348;0.217;0.26;11
0.665;0.57;0.185;1.522;0.6965;0.3025;0.405;13
0.62;0.51;0.175;1.1255;0.4985;0.227;0.315;14
0.55;0.46;0.13;0.7085;0.305;0.1455;0.205;12
0.605;0.475;0.145;1.0185;0.4695;0.225;0.27;15
0.535;0.42;0.16;0.72;0.275;0.164;0.225;15
0.51;0.395;0.12;0.6175;0.262;0.122;0.193;12
0.53;0.405;0.13;0.738;0.2845;0.17;0.193;9
0.495;0.375;0.15;0.597;0.2615;0.135;0.178;11
0.575;0.455;0.185;1.156;0.5525;0.243;0.295;13
0.63;0.5;0.16;1.22;0.4905;0.3;0.345;14
0.59;0.45;0.12;0.7485;0.3345;0.1315;0.22;14
0.605;0.485;0.165;1.0735;0.437;0.205;0.33;14
0.645;0.5;0.19;1.229;0.524;0.278;0.395;17
0.62;0.5;0.175;1.146;0.477;0.23;0.39;13
0.605;0.485;0.175;1.145;0.4325;0.27;0.405;16
0.615;0.5;0.205;1.1055;0.4445;0.227;0.39;16
0.66;0.525;0.19;1.67;0.6525;0.4875;0.49;11
0.71;0.575;0.175;1.555;0.6465;0.3705;0.52;15
0.565;0.45;0.185;0.9285;0.302;0.1805;0.265;12
0.57;0.435;0.14;0.8085;0.3235;0.183;0.22;16
0.6;0.445;0.175;1.057;0.383;0.216;0.355;16
0.41;0.3;0.115;0.2595;0.097;0.0515;0.08;10
0.45;0.325;0.135;0.438;0.1805;0.1165;0.11;9
0.275;0.2;0.08;0.099;0.037;0.024;0.03;5
0.485;0.355;0.12;0.5085;0.21;0.122;0.135;9
